trial,location,state,year,environment,nursery,management,report,planting_date,harvest_date,meters_harvested,cm_bet_rows,lat,long
WRN_1996_Davis_Irrigated,Davis,CA,1996,DVS96I,wrn,irrigated,,,,,,38.545379,-121.7445835
WRN_1996_Moscow_Irrigated,Moscow,ID,1996,MSC96I,wrn,irrigated,,,,,,46.7323875,-117.0001651
WRN_1996_Powell_Irrigated,Powell,WY,1996,PWL96I,wrn,irrigated,,,,,,44.752873,-108.75902
WRN_1997_Pullman_Irrigated,Pullman,WA,1997,PLL97I,wrn,irrigated,,,,,,46.7304268,-117.173895
WRN_1998_Aberdeen_Irrigated,Aberdeen,ID,1998,ABR98I,wrn,irrigated,,,,,,42.9440784,-112.8383265
WRN_1998_KlamathFalls_Irrigated,KlamathFalls,OR,1998,KLF98I,wrn,irrigated,,,,,,42.224867,-121.7816704
WRN_1998_Moscow_Irrigated,Moscow,ID,1998,MSC98I,wrn,irrigated,,,,,,46.7323875,-117.0001651
WRN_1999_KlamathFalls_Irrigated,KlamathFalls,OR,1999,KLF99I,wrn,irrigated,,,,,,42.224867,-121.7816704
WRN_1999_Powell_Irrigated,Powell,WY,1999,PWL99I,wrn,irrigated,,,,,,44.752873,-108.75902
WRN_1999_Pullman_Irrigated,Pullman,WA,1999,PLL99I,wrn,irrigated,,,,,,46.7304268,-117.173895
WRN_2000_Pullman_Irrigated,Pullman,WA,2000,PLL00I,wrn,irrigated,,,,,,46.7304268,-117.173895
WRN_2001_Aberdeen_Irrigated,Aberdeen,ID,2001,ABR01I,wrn,irrigated,01WRBNREPORT,2001-04-13,,,,42.9440784,-112.8383265
WRN_2001_BlueCreek_Rainfed,BlueCreek,UT,2001,BLC01R,wrn,rainfed,01WRBNREPORT,,,,,41.8621454,-112.4569128
WRN_2001_BonnersFerry_Irrigated,BonnersFerry,ID,2001,BNF01I,wrn,irrigated,01WRBNREPORT,,,,,48.6912792,-116.3161408
WRN_2001_Bozeman_Rainfed,Bozeman,MT,2001,BZM01R,wrn,rainfed,01WRBNREPORT,,,,,45.6794293,-111.0440474
WRN_2001_Fairfield_Irrigated,Fairfield,MT,2001,FRF01I,wrn,irrigated,01WRBNREPORT,2001-04-25,2001-08-16,,,47.614673,-111.980279
WRN_2001_Fargo_Irrigated,Fargo,ND,2001,FRG01I,wrn,irrigated,01WRBNREPORT,2001-05-02,,,,46.877229,-96.789821
WRN_2001_Fargo_Rainfed,Fargo,ND,2001,FRG01R,wrn,rainfed,01WRBNREPORT,2001-05-02,,,,46.877229,-96.789821
WRN_2001_Genesee_Rainfed,Genesee,ID,2001,GNS01R,wrn,rainfed,01WRBNREPORT,,,,,46.5507205,-116.9254357
WRN_2001_IdahoFalls_Irrigated,IdahoFalls,ID,2001,IDF01I,wrn,irrigated,01WRBNREPORT,,,,,43.4935245,-112.0400919
WRN_2001_KlamathFalls_Irrigated,KlamathFalls,OR,2001,KLF01I,wrn,irrigated,01WRBNREPORT,,,,,42.224867,-121.7816704
WRN_2001_Logan_Irrigated,Logan,UT,2001,LGN01I,wrn,irrigated,01WRBNREPORT,,,,,41.7313447,-111.8348631
WRN_2001_Manhattan_Irrigated,Manhattan,MT,2001,MNH01I,wrn,irrigated,01WRBNREPORT,2001-05-09,2001-08-30,,,45.855369,-111.334081
WRN_2001_Minot_Irrigated,Minot,ND,2001,MNT01I,wrn,irrigated,01WRBNREPORT,,,,,48.23251,-101.296273
WRN_2001_Moscow_Irrigated,Moscow,ID,2001,MSC01I,wrn,irrigated,01WRBNREPORT,2001-05-08,2001-08-28,,,46.7323875,-117.0001651
WRN_2001_Powell_Irrigated,Powell,WY,2001,PWL01I,wrn,irrigated,01WRBNREPORT,,,,,44.752873,-108.75902
WRN_2001_Pullman_Irrigated,Pullman,WA,2001,PLL01I,wrn,irrigated,01WRBNREPORT,2001-04-23,2001-08-15,,,46.7304268,-117.173895
WRN_2001_Tetonia_Rainfed,Tetonia,ID,2001,TTN01R,wrn,rainfed,01WRBNREPORT,,,,,43.8144799,-111.160207
WRN_2001_Williston_Irrigated,Williston,ND,2001,WLL01I,wrn,irrigated,01WRBNREPORT,2001-05-08,2001-08-10,,,48.1465457,-103.621814
WRN_2001_Williston_Rainfed,Williston,ND,2001,WLL01R,wrn,rainfed,01WRBNREPORT,2001-05-08,2001-08-10,,,48.1465457,-103.621814
WRN_2002_Aberdeen_Irrigated,Aberdeen,ID,2002,ABR02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,42.9440784,-112.8383265
WRN_2002_BlueCreek_Rainfed,BlueCreek,UT,2002,BLC02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,41.8621454,-112.4569128
WRN_2002_BonnersFerry_Irrigated,BonnersFerry,ID,2002,BNF02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,48.6912792,-116.3161408
WRN_2002_Bozeman_Irrigated,Bozeman,MT,2002,BZM02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,45.6794293,-111.0440474
WRN_2002_Bozeman_Rainfed,Bozeman,MT,2002,BZM02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,45.6794293,-111.0440474
WRN_2002_Fairfield_Irrigated,Fairfield,MT,2002,FRF02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,47.614673,-111.980279
WRN_2002_Fargo_Irrigated,Fargo,ND,2002,FRG02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,46.877229,-96.789821
WRN_2002_Fargo_Rainfed,Fargo,ND,2002,FRG02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,46.877229,-96.789821
WRN_2002_Hettinger_Rainfed,Hettinger,ND,2002,HTT02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,46.0013946,-102.6368239
WRN_2002_IdahoFalls_Irrigated,IdahoFalls,ID,2002,IDF02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,43.4935245,-112.0400919
WRN_2002_KlamathFalls_Irrigated,KlamathFalls,OR,2002,KLF02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,42.224867,-121.7816704
WRN_2002_Langdon_Rainfed,Langdon,ND,2002,LNG02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,48.7605902,-98.3678245
WRN_2002_Logan_Irrigated,Logan,UT,2002,LGN02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,41.7313447,-111.8348631
WRN_2002_Minot_Irrigated,Minot,ND,2002,MNT02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,48.23251,-101.296273
WRN_2002_Moscow_Irrigated,Moscow,ID,2002,MSC02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,46.7323875,-117.0001651
WRN_2002_Moscow_Rainfed,Moscow,ID,2002,MSC02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,46.7323875,-117.0001651
WRN_2002_Powell_Irrigated,Powell,WY,2002,PWL02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,44.752873,-108.75902
WRN_2002_Pullman_Irrigated,Pullman,WA,2002,PLL02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,46.7304268,-117.173895
WRN_2002_Saskatoon_Irrigated,Saskatoon,SK,2002,SSK02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,52.131802,-106.660767
WRN_2002_Saskatoon_Rainfed,Saskatoon,SK,2002,SSK02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,52.131802,-106.660767
WRN_2002_SodaSprings_Rainfed,SodaSprings,ID,2002,SDS02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,42.6543652,-111.6046687
WRN_2002_Lewiston_Irrigated,Lewiston,ID,2002,LWS02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,46.4195913,-117.0216144
WRN_2002_Tetonia_Rainfed,Tetonia,ID,2002,TTN02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,43.8144799,-111.160207
WRN_2002_Tulelake_Irrigated,Tulelake,CA,2002,TLL02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,41.955989,-121.477492
WRN_2002_Williston_Irrigated,Williston,ND,2002,WLL02I,wrn,irrigated,02WRBNREPORT2_edit,,,,,48.1465457,-103.621814
WRN_2002_Williston_Rainfed,Williston,ND,2002,WLL02R,wrn,rainfed,02WRBNREPORT2_edit,,,,,48.1465457,-103.621814
WRN_2003_Aberdeen_Irrigated,Aberdeen,ID,2003,ABR03I,wrn,irrigated,2003WRBNREPORT,,,,,42.9440784,-112.8383265
WRN_2003_Bozeman_Rainfed,Bozeman,MT,2003,BZM03R,wrn,rainfed,2003WRBNREPORT,,,,,45.6794293,-111.0440474
WRN_2003_Conrad_Rainfed,Conrad,MT,2003,CNR03R,wrn,rainfed,2003WRBNREPORT,,,,,48.170251,-111.943019
WRN_2003_Fairfield_Irrigated,Fairfield,MT,2003,FRF03I,wrn,irrigated,2003WRBNREPORT,,,,,47.614673,-111.980279
WRN_2003_Fargo_Irrigated,Fargo,ND,2003,FRG03I,wrn,irrigated,2003WRBNREPORT,,,,,46.877229,-96.789821
WRN_2003_Fargo_Rainfed,Fargo,ND,2003,FRG03R,wrn,rainfed,2003WRBNREPORT,,,,,46.877229,-96.789821
WRN_2003_Hazelton_Irrigated,Hazelton,ID,2003,HZL03I,wrn,irrigated,2003WRBNREPORT,,,,,42.5958678,-114.1366997
WRN_2003_Hettinger_Rainfed,Hettinger,ND,2003,HTT03R,wrn,rainfed,2003WRBNREPORT,,,,,46.0013946,-102.6368239
WRN_2003_IdahoFalls_Irrigated,IdahoFalls,ID,2003,IDF03I,wrn,irrigated,2003WRBNREPORT,,,,,43.4935245,-112.0400919
WRN_2003_KlamathFalls_Irrigated,KlamathFalls,OR,2003,KLF03I,wrn,irrigated,2003WRBNREPORT,,,,,42.224867,-121.7816704
WRN_2003_Manhattan_Irrigated,Manhattan,MT,2003,MNH03I,wrn,irrigated,2003WRBNREPORT,,,,,45.855369,-111.334081
WRN_2003_Minot_Irrigated,Minot,ND,2003,MNT03I,wrn,irrigated,2003WRBNREPORT,,,,,48.23251,-101.296273
WRN_2003_Potlatch_Rainfed,Potlatch,ID,2003,PTL03R,wrn,rainfed,2003WRBNREPORT,,,,,46.9214798,-116.8969716
WRN_2003_Powell_Irrigated,Powell,WY,2003,PWL03I,wrn,irrigated,2003WRBNREPORT,,,,,44.752873,-108.75902
WRN_2003_Pullman_Irrigated,Pullman,WA,2003,PLL03I,wrn,irrigated,2003WRBNREPORT,,,,,46.7304268,-117.173895
WRN_2003_Saskatoon_Irrigated,Saskatoon,SK,2003,SSK03I,wrn,irrigated,2003WRBNREPORT,,,,,52.131802,-106.660767
WRN_2003_Saskatoon_Rainfed,Saskatoon,SK,2003,SSK03R,wrn,rainfed,2003WRBNREPORT,,,,,52.131802,-106.660767
WRN_2003_SodaSprings_Rainfed,SodaSprings,ID,2003,SDS03R,wrn,rainfed,2003WRBNREPORT,,,,,42.6543652,-111.6046687
WRN_2003_Tetonia_Rainfed,Tetonia,ID,2003,TTN03R,wrn,rainfed,2003WRBNREPORT,,,,,43.8144799,-111.160207
WRN_2003_Tulelake_Irrigated,Tulelake,CA,2003,TLL03I,wrn,irrigated,2003WRBNREPORT,,,,,41.955989,-121.477492
WRN_2003_Williston_Irrigated,Williston,ND,2003,WLL03I,wrn,irrigated,2003WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2003_Williston_Rainfed,Williston,ND,2003,WLL03R,wrn,rainfed,2003WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2004_Aberdeen_Irrigated,Aberdeen,ID,2004,ABR04I,wrn,irrigated,2004WRBNREPORT,,,,,42.9440784,-112.8383265
WRN_2004_BlueCreek_Rainfed,BlueCreek,UT,2004,BLC04R,wrn,rainfed,2004WRBNREPORT,,,,,41.8621454,-112.4569128
WRN_2004_Bozeman_Rainfed,Bozeman,MT,2004,BZM04R,wrn,rainfed,2004WRBNREPORT,,,,,45.6794293,-111.0440474
WRN_2004_Brady_Rainfed,Brady,MT,2004,BRD04R,wrn,rainfed,2004WRBNREPORT,,,,,48.0356584,-111.8398334
WRN_2004_Fairfield_Irrigated,Fairfield,MT,2004,FRF04I,wrn,irrigated,2004WRBNREPORT,,,,,47.614673,-111.980279
WRN_2004_Fargo_Irrigated,Fargo,ND,2004,FRG04I,wrn,irrigated,2004WRBNREPORT,,,,,46.877229,-96.789821
WRN_2004_Fargo_Rainfed,Fargo,ND,2004,FRG04R,wrn,rainfed,2004WRBNREPORT,,,,,46.877229,-96.789821
WRN_2004_Hazelton_Irrigated,Hazelton,ID,2004,HZL04I,wrn,irrigated,2004WRBNREPORT,,,,,42.5958678,-114.1366997
WRN_2004_Hettinger_Rainfed,Hettinger,ND,2004,HTT04R,wrn,rainfed,2004WRBNREPORT,,,,,46.0013946,-102.6368239
WRN_2004_IdahoFalls_Irrigated,IdahoFalls,ID,2004,IDF04I,wrn,irrigated,2004WRBNREPORT,,,,,43.4935245,-112.0400919
WRN_2004_KlamathFalls_Irrigated,KlamathFalls,OR,2004,KLF04I,wrn,irrigated,2004WRBNREPORT,,,,,42.224867,-121.7816704
WRN_2004_Langdon_Rainfed,Langdon,ND,2004,LNG04R,wrn,rainfed,2004WRBNREPORT,,,,,48.7605902,-98.3678245
WRN_2004_Logan_Irrigated,Logan,UT,2004,LGN04I,wrn,irrigated,2004WRBNREPORT,,,,,41.7313447,-111.8348631
WRN_2004_Minot_Irrigated,Minot,ND,2004,MNT04I,wrn,irrigated,2004WRBNREPORT,,,,,48.23251,-101.296273
WRN_2004_Potlatch_Rainfed,Potlatch,ID,2004,PTL04R,wrn,rainfed,2004WRBNREPORT,,,,,46.9214798,-116.8969716
WRN_2004_Powell_Irrigated,Powell,WY,2004,PWL04I,wrn,irrigated,2004WRBNREPORT,,,,,44.752873,-108.75902
WRN_2004_Pullman_Irrigated,Pullman,WA,2004,PLL04I,wrn,irrigated,2004WRBNREPORT,,,,,46.7304268,-117.173895
WRN_2004_Saskatoon_Irrigated,Saskatoon,SK,2004,SSK04I,wrn,irrigated,2004WRBNREPORT,,,,,52.131802,-106.660767
WRN_2004_Saskatoon_Rainfed,Saskatoon,SK,2004,SSK04R,wrn,rainfed,2004WRBNREPORT,,,,,52.131802,-106.660767
WRN_2004_SodaSprings_Rainfed,SodaSprings,ID,2004,SDS04R,wrn,rainfed,2004WRBNREPORT,,,,,42.6543652,-111.6046687
WRN_2004_Tetonia_Rainfed,Tetonia,ID,2004,TTN04R,wrn,rainfed,2004WRBNREPORT,,,,,43.8144799,-111.160207
WRN_2004_Tulelake_Irrigated,Tulelake,CA,2004,TLL04I,wrn,irrigated,2004WRBNREPORT,,,,,41.955989,-121.477492
WRN_2004_TwinFalls_Irrigated,TwinFalls,ID,2004,TWF04I,wrn,irrigated,,,,,,42.5704219,-114.4603171
WRN_2004_Williston_Irrigated,Williston,ND,2004,WLL04I,wrn,irrigated,2004WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2004_Williston_Rainfed,Williston,ND,2004,WLL04R,wrn,rainfed,2004WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2005_Aberdeen_Irrigated,Aberdeen,ID,2005,ABR05I,wrn,irrigated,2005WRBNREPORT,,,,,42.9440784,-112.8383265
WRN_2005_Bozeman_Irrigated,Bozeman,MT,2005,BZM05I,wrn,irrigated,2005WRBNREPORT,,,,,45.6794293,-111.0440474
WRN_2005_Bozeman_Rainfed,Bozeman,MT,2005,BZM05R,wrn,rainfed,2005WRBNREPORT,,,,,45.6794293,-111.0440474
WRN_2005_Conrad_Rainfed,Conrad,MT,2005,CNR05R,wrn,rainfed,2005WRBNREPORT,,,,,48.170251,-111.943019
WRN_2005_Fairfield_Irrigated,Fairfield,MT,2005,FRF05I,wrn,irrigated,2005WRBNREPORT,,,,,47.614673,-111.980279
WRN_2005_Hettinger_Rainfed,Hettinger,ND,2005,HTT05R,wrn,rainfed,2005WRBNREPORT,,,,,46.0013946,-102.6368239
WRN_2005_IdahoFalls_Irrigated,IdahoFalls,ID,2005,IDF05I,wrn,irrigated,2005WRBNREPORT,,,,,43.4935245,-112.0400919
WRN_2005_KlamathFalls_Irrigated,KlamathFalls,OR,2005,KLF05I,wrn,irrigated,2005WRBNREPORT,,,,,42.224867,-121.7816704
WRN_2005_KlamathFalls_Irrigated,KlamathFalls,OR,2005,KLF05I,wrn,irrigated,,,,,,42.224867,-121.7816704
WRN_2005_Langdon_Irrigated,Langdon,ND,2005,LNG05I,wrn,irrigated,2005WRBNREPORT,,,,,48.7605902,-98.3678245
WRN_2005_Logan_Irrigated,Logan,UT,2005,LGN05I,wrn,irrigated,2005WRBNREPORT,,,,,41.7313447,-111.8348631
WRN_2005_Minot_Rainfed,Minot,ND,2005,MNT05R,wrn,rainfed,2005WRBNREPORT,,,,,48.23251,-101.296273
WRN_2005_Potlatch_Rainfed,Potlatch,ID,2005,PTL05R,wrn,rainfed,2005WRBNREPORT,,,,,46.9214798,-116.8969716
WRN_2005_Powell_Irrigated,Powell,WY,2005,PWL05I,wrn,irrigated,2005WRBNREPORT,,,,,44.752873,-108.75902
WRN_2005_Pullman_Irrigated,Pullman,WA,2005,PLL05I,wrn,irrigated,2005WRBNREPORT,,,,,46.7304268,-117.173895
WRN_2005_SodaSprings_Rainfed,SodaSprings,ID,2005,SDS05R,wrn,rainfed,2005WRBNREPORT,,,,,42.6543652,-111.6046687
WRN_2005_Tetonia_Rainfed,Tetonia,ID,2005,TTN05R,wrn,rainfed,2005WRBNREPORT,,,,,43.8144799,-111.160207
WRN_2005_Tulelake_Irrigated,Tulelake,CA,2005,TLL05I,wrn,irrigated,2005WRBNREPORT,,,,,41.955989,-121.477492
WRN_2005_TwinFalls_Irrigated,TwinFalls,ID,2005,TWF05I,wrn,irrigated,2005WRBNREPORT,,,,,42.5704219,-114.4603171
WRN_2005_Williston_Irrigated,Williston,ND,2005,WLL05I,wrn,irrigated,2005WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2005_Williston_Rainfed,Williston,ND,2005,WLL05R,wrn,rainfed,2005WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2006_Aberdeen_Irrigated,Aberdeen,ID,2006,ABR06I,wrn,irrigated,2006WRBNREPORT,,,,,42.9440784,-112.8383265
WRN_2006_Bozeman_Irrigated,Bozeman,MT,2006,BZM06I,wrn,irrigated,2006WRBNREPORT,,,,,45.6794293,-111.0440474
WRN_2006_Bozeman_Rainfed,Bozeman,MT,2006,BZM06R,wrn,rainfed,2006WRBNREPORT,,,,,45.6794293,-111.0440474
WRN_2006_Conrad_Rainfed,Conrad,MT,2006,CNR06R,wrn,rainfed,2006WRBNREPORT,,,,,48.170251,-111.943019
WRN_2006_Fairfield_Irrigated,Fairfield,MT,2006,FRF06I,wrn,irrigated,2006WRBNREPORT,,,,,47.614673,-111.980279
WRN_2006_Fargo_Irrigated,Fargo,ND,2006,FRG06I,wrn,irrigated,2006WRBNREPORT,,,,,46.877229,-96.789821
WRN_2006_Fargo_Rainfed,Fargo,ND,2006,FRG06R,wrn,rainfed,2006WRBNREPORT,,,,,46.877229,-96.789821
WRN_2006_Hettinger_Rainfed,Hettinger,ND,2006,HTT06R,wrn,rainfed,2006WRBNREPORT,,,,,46.0013946,-102.6368239
WRN_2006_IdahoFalls_Irrigated,IdahoFalls,ID,2006,IDF06I,wrn,irrigated,2006WRBNREPORT,,,,,43.4935245,-112.0400919
WRN_2006_KlamathFalls_Irrigated,KlamathFalls,OR,2006,KLF06I,wrn,irrigated,2006WRBNREPORT,,,,,42.224867,-121.7816704
WRN_2006_Langdon_Irrigated,Langdon,ND,2006,LNG06I,wrn,irrigated,2006WRBNREPORT,,,,,48.7605902,-98.3678245
WRN_2006_Logan_Irrigated,Logan,UT,2006,LGN06I,wrn,irrigated,2006WRBNREPORT,,,,,41.7313447,-111.8348631
WRN_2006_Minot_Rainfed,Minot,ND,2006,MNT06R,wrn,rainfed,2006WRBNREPORT,,,,,48.23251,-101.296273
WRN_2006_Potlatch_Rainfed,Potlatch,ID,2006,PTL06R,wrn,rainfed,2006WRBNREPORT,,,,,46.9214798,-116.8969716
WRN_2006_Powell_Irrigated,Powell,WY,2006,PWL06I,wrn,irrigated,2006WRBNREPORT,,,,,44.752873,-108.75902
WRN_2006_Pullman_Irrigated,Pullman,WA,2006,PLL06I,wrn,irrigated,2006WRBNREPORT,,,,,46.7304268,-117.173895
WRN_2006_Saskatoon_Irrigated,Saskatoon,SK,2006,SSK06I,wrn,irrigated,2006WRBNREPORT,,,,,52.131802,-106.660767
WRN_2006_Saskatoon_Rainfed,Saskatoon,SK,2006,SSK06R,wrn,rainfed,2006WRBNREPORT,,,,,52.131802,-106.660767
WRN_2006_SodaSprings_Rainfed,SodaSprings,ID,2006,SDS06R,wrn,rainfed,2006WRBNREPORT,,,,,42.6543652,-111.6046687
WRN_2006_Sterling_Rainfed,Sterling,UT,2006,STR06R,wrn,rainfed,2006WRBNREPORT,,,,,39.1935732,-111.69242
WRN_2006_Tetonia_Rainfed,Tetonia,ID,2006,TTN06R,wrn,rainfed,2006WRBNREPORT,,,,,43.8144799,-111.160207
WRN_2006_Tulelake_Irrigated,Tulelake,CA,2006,TLL06I,wrn,irrigated,2006WRBNREPORT,,,,,41.955989,-121.477492
WRN_2006_TwinFalls_Irrigated,TwinFalls,ID,2006,TWF06I,wrn,irrigated,2006WRBNREPORT,,,,,42.5704219,-114.4603171
WRN_2006_Williston_Irrigated,Williston,ND,2006,WLL06I,wrn,irrigated,2006WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2007_Aberdeen_Irrigated,Aberdeen,ID,2007,ABR07I,wrn,irrigated,2007WRBNREPORT,,,,,42.9440784,-112.8383265
WRN_2007_Bozeman_Irrigated,Bozeman,MT,2007,BZM07I,wrn,irrigated,2007WRBNREPORT,,,,,45.6794293,-111.0440474
WRN_2007_Conrad_Rainfed,Conrad,MT,2007,CNR07R,wrn,rainfed,2007WRBNREPORT,,,,,48.170251,-111.943019
WRN_2007_Fairfield_Irrigated,Fairfield,MT,2007,FRF07I,wrn,irrigated,2007WRBNREPORT,,,,,47.614673,-111.980279
WRN_2007_Hettinger_Rainfed,Hettinger,ND,2007,HTT07R,wrn,rainfed,2007WRBNREPORT,,,,,46.0013946,-102.6368239
WRN_2007_IdahoFalls_Irrigated,IdahoFalls,ID,2007,IDF07I,wrn,irrigated,2007WRBNREPORT,,,,,43.4935245,-112.0400919
WRN_2007_KlamathFalls_Irrigated,KlamathFalls,OR,2007,KLF07I,wrn,irrigated,2007WRBNREPORT,,,,,42.224867,-121.7816704
WRN_2007_Langdon_Irrigated,Langdon,ND,2007,LNG07I,wrn,irrigated,2007WRBNREPORT,,,,,48.7605902,-98.3678245
WRN_2007_Logan_Irrigated,Logan,UT,2007,LGN07I,wrn,irrigated,2007WRBNREPORT,,,,,41.7313447,-111.8348631
WRN_2007_Minot_Rainfed,Minot,ND,2007,MNT07R,wrn,rainfed,2007WRBNREPORT,,,,,48.23251,-101.296273
WRN_2007_Potlatch_Rainfed,Potlatch,ID,2007,PTL07R,wrn,rainfed,2007WRBNREPORT,,,,,46.9214798,-116.8969716
WRN_2007_Powell_Irrigated,Powell,WY,2007,PWL07I,wrn,irrigated,2007WRBNREPORT,,,,,44.752873,-108.75902
WRN_2007_Pullman_Irrigated,Pullman,WA,2007,PLL07I,wrn,irrigated,2007WRBNREPORT,,,,,46.7304268,-117.173895
WRN_2007_Saskatoon_Irrigated,Saskatoon,SK,2007,SSK07I,wrn,irrigated,2007WRBNREPORT,,,,,52.131802,-106.660767
WRN_2007_Sterling_Rainfed,Sterling,UT,2007,STR07R,wrn,rainfed,2007WRBNREPORT,,,,,39.1935732,-111.69242
WRN_2007_Tetonia_Rainfed,Tetonia,ID,2007,TTN07R,wrn,rainfed,2007WRBNREPORT,,,,,43.8144799,-111.160207
WRN_2007_Williston_Irrigated,Williston,ND,2007,WLL07I,wrn,irrigated,2007WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2007_Williston_Rainfed,Williston,ND,2007,WLL07R,wrn,rainfed,2007WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2008_Aberdeen_Irrigated,Aberdeen,ID,2008,ABR08I,wrn,irrigated,2008WRBNREPORT,,,,,42.9440784,-112.8383265
WRN_2008_Conrad_Irrigated,Conrad,MT,2008,CNR08I,wrn,irrigated,,,,,,48.170251,-111.943019
WRN_2008_Conrad_Rainfed,Conrad,MT,2008,CNR08R,wrn,rainfed,2008WRBNREPORT,,,,,48.170251,-111.943019
WRN_2008_Fairfield_Irrigated,Fairfield,MT,2008,FRF08I,wrn,irrigated,2008WRBNREPORT,,,,,47.614673,-111.980279
WRN_2008_Hettinger_Rainfed,Hettinger,ND,2008,HTT08R,wrn,rainfed,2008WRBNREPORT,,,,,46.0013946,-102.6368239
WRN_2008_IdahoFalls_Irrigated,IdahoFalls,ID,2008,IDF08I,wrn,irrigated,2008WRBNREPORT,,,,,43.4935245,-112.0400919
WRN_2008_KlamathFalls_Irrigated,KlamathFalls,OR,2008,KLF08I,wrn,irrigated,2008WRBNREPORT,,,,,42.224867,-121.7816704
WRN_2008_Langdon_Irrigated,Langdon,ND,2008,LNG08I,wrn,irrigated,2008WRBNREPORT,,,,,48.7605902,-98.3678245
WRN_2008_Logan_Irrigated,Logan,UT,2008,LGN08I,wrn,irrigated,2008WRBNREPORT,,,,,41.7313447,-111.8348631
WRN_2008_Manhattan_Irrigated,Manhattan,MT,2008,MNH08I,wrn,irrigated,2008WRBNREPORT,,,,,45.855369,-111.334081
WRN_2008_Minot_Rainfed,Minot,ND,2008,MNT08R,wrn,rainfed,2008WRBNREPORT,,,,,48.23251,-101.296273
WRN_2008_Powell_Irrigated,Powell,WY,2008,PWL08I,wrn,irrigated,2008WRBNREPORT,,,,,44.752873,-108.75902
WRN_2008_Pullman_Irrigated,Pullman,WA,2008,PLL08I,wrn,irrigated,2008WRBNREPORT,,,,,46.7304268,-117.173895
WRN_2008_Saskatoon_Irrigated,Saskatoon,SK,2008,SSK08I,wrn,irrigated,2008WRBNREPORT,,,,,52.131802,-106.660767
WRN_2008_Sterling_Rainfed,Sterling,UT,2008,STR08R,wrn,rainfed,2008WRBNREPORT,,,,,39.1935732,-111.69242
WRN_2008_Tetonia_Rainfed,Tetonia,ID,2008,TTN08R,wrn,rainfed,2008WRBNREPORT,,,,,43.8144799,-111.160207
WRN_2008_Williston_Irrigated,Williston,ND,2008,WLL08I,wrn,irrigated,2008WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2008_Williston_Rainfed,Williston,ND,2008,WLL08R,wrn,rainfed,2008WRBNREPORT,,,,,48.1465457,-103.621814
WRN_2009_Aberdeen_Irrigated,Aberdeen,ID,2009,ABR09I,wrn,irrigated,2009WRBNREPORT,,,,,42.9440784,-112.8383265
WRN_2009_Bozeman_Irrigated,Bozeman,MT,2009,BZM09I,wrn,irrigated,2009WRBNREPORT,,,,,45.6794293,-111.0440474
WRN_2009_Conrad_Irrigated,Conrad,MT,2009,CNR09I,wrn,irrigated,2009WRBNREPORT,,,,,48.170251,-111.943019
WRN_2009_Fairfield_Irrigated,Fairfield,MT,2009,FRF09I,wrn,irrigated,2009WRBNREPORT,,,,,47.614673,-111.980279
WRN_2009_FortCollins_Irrigated,FortCollins,CO,2009,FRC09I,wrn,irrigated,,,,,,40.5508527,-105.0668085
WRN_2009_Hettinger_Irrigated,Hettinger,ND,2009,HTT09I,wrn,irrigated,2009WRBNREPORT,,,,,46.0013946,-102.6368239
WRN_2009_IdahoFalls_Irrigated,IdahoFalls,ID,2009,IDF09I,wrn,irrigated,2009WRBNREPORT,,,,,43.4935245,-112.0400919
WRN_2009_Langdon_Irrigated,Langdon,ND,2009,LNG09I,wrn,irrigated,2009WRBNREPORT,,,,,48.7605902,-98.3678245
